GCA_934882705.1,GCA_934882705.1.fna.gz
GCA_016350125.1,GCA_016350125.1.fna.gz
GCA_020736345.1,GCA_020736345.1.fna.gz
GCA_020139215.1,GCA_020139215.1.fna.gz
GCA_000359185.2,GCA_000359185.2.fna.gz
GCA_019355435.1,GCA_019355435.1.fna.gz
GCA_022220565.1,GCA_022220565.1.fna.gz
GCA_022354685.1,GCA_022354685.1.fna.gz
GCA_000756085.1,GCA_000756085.1.fna.gz
GCA_000253335.1,GCA_000253335.1.fna.gz
GCA_000759515.1,GCA_000759515.1.fna.gz
GCA_000411215.1,GCA_000411215.1.fna.gz
GCA_900377405.1,GCA_900377405.1.fna.gz
GCA_014884525.1,GCA_014884525.1.fna.gz
GCA_000007465.2,GCA_000007465.2.fna.gz
GCA_016604125.1,GCA_016604125.1.fna.gz
GCA_016603495.1,GCA_016603495.1.fna.gz
GCA_900447685.1,GCA_900447685.1.fna.gz
GCA_934873145.1,GCA_934873145.1.fna.gz
GCA_000340605.1,GCA_000340605.1.fna.gz
GCA_000183905.1,GCA_000183905.1.fna.gz
GCA_000331165.2,GCA_000331165.2.fna.gz
GCA_900118815.1,GCA_900118815.1.fna.gz
GCA_902728145.1,GCA_902728145.1.fna.gz
GCA_017299015.1,GCA_017299015.1.fna.gz
GCA_900634425.1,GCA_900634425.1.fna.gz
GCA_015276675.1,GCA_015276675.1.fna.gz
GCA_014224505.1,GCA_014224505.1.fna.gz
GCA_010731915.1,GCA_010731915.1.fna.gz
GCA_013829265.1,GCA_013829265.1.fna.gz
GCA_000178355.1,GCA_000178355.1.fna.gz
GCA_016406205.1,GCA_016406205.1.fna.gz
GCA_000773965.1,GCA_000773965.1.fna.gz
GCA_014207875.1,GCA_014207875.1.fna.gz
GCA_017604305.1,GCA_017604305.1.fna.gz
GCA_016889825.1,GCA_016889825.1.fna.gz
GCA_015276655.1,GCA_015276655.1.fna.gz
GCA_900109835.1,GCA_900109835.1.fna.gz
GCA_900520335.1,GCA_900520335.1.fna.gz
GCA_937990705.1,GCA_937990705.1.fna.gz
GCA_900450845.1,GCA_900450845.1.fna.gz
GCA_000215665.1,GCA_000215665.1.fna.gz
GCA_918429175.1,GCA_918429175.1.fna.gz
GCA_014217745.1,GCA_014217745.1.fna.gz
GCA_019242955.1,GCA_019242955.1.fna.gz
GCA_023708325.1,GCA_023708325.1.fna.gz
GCA_019265405.1,GCA_019265405.1.fna.gz
GCA_014204265.1,GCA_014204265.1.fna.gz
GCA_013728935.1,GCA_013728935.1.fna.gz
GCA_018035165.1,GCA_018035165.1.fna.gz
GCA_014490825.1,GCA_014490825.1.fna.gz
GCA_019668525.1,GCA_019668525.1.fna.gz
GCA_943913275.1,GCA_943913275.1.fna.gz
GCA_000710915.1,GCA_000710915.1.fna.gz
GCA_945910515.1,GCA_945910515.1.fna.gz
GCA_017168035.1,GCA_017168035.1.fna.gz
GCA_023708105.1,GCA_023708105.1.fna.gz
GCA_000292915.1,GCA_000292915.1.fna.gz
GCA_918429205.1,GCA_918429205.1.fna.gz
GCA_000665865.1,GCA_000665865.1.fna.gz
GCA_000246635.2,GCA_000246635.2.fna.gz
GCA_000306825.1,GCA_000306825.1.fna.gz
GCA_925279165.1,GCA_925279165.1.fna.gz
GCA_019973835.2,GCA_019973835.2.fna.gz
GCA_020281185.1,GCA_020281185.1.fna.gz
GCA_000279535.1,GCA_000279535.1.fna.gz
GCA_905372245.1,GCA_905372245.1.fna.gz
GCA_013724765.1,GCA_013724765.1.fna.gz
GCA_900103105.1,GCA_900103105.1.fna.gz
GCA_900444825.1,GCA_900444825.1.fna.gz
GCA_916049995.1,GCA_916049995.1.fna.gz
GCA_015276115.1,GCA_015276115.1.fna.gz
GCA_934875315.1,GCA_934875315.1.fna.gz
GCA_013425305.1,GCA_013425305.1.fna.gz
GCA_017604105.1,GCA_017604105.1.fna.gz
GCA_000165835.1,GCA_000165835.1.fna.gz
GCA_900638535.1,GCA_900638535.1.fna.gz
GCA_023278465.1,GCA_023278465.1.fna.gz
GCA_015595065.1,GCA_015595065.1.fna.gz
GCA_015276575.1,GCA_015276575.1.fna.gz
GCA_014225705.1,GCA_014225705.1.fna.gz
GCA_015275535.1,GCA_015275535.1.fna.gz
GCA_900446895.1,GCA_900446895.1.fna.gz
GCA_902387375.1,GCA_902387375.1.fna.gz
GCA_902833505.1,GCA_902833505.1.fna.gz
GCA_017299275.1,GCA_017299275.1.fna.gz
GCA_902728085.1,GCA_902728085.1.fna.gz
GCA_902386545.1,GCA_902386545.1.fna.gz
GCA_900118745.1,GCA_900118745.1.fna.gz
GCA_000772145.1,GCA_000772145.1.fna.gz
GCA_000009345.1,GCA_000009345.1.fna.gz
GCA_021183885.1,GCA_021183885.1.fna.gz
GCA_000340685.1,GCA_000340685.1.fna.gz
GCA_901542395.1,GCA_901542395.1.fna.gz
GCA_016603675.1,GCA_016603675.1.fna.gz
GCA_016603775.1,GCA_016603775.1.fna.gz
GCA_902170495.1,GCA_902170495.1.fna.gz
GCA_900087715.2,GCA_900087715.2.fna.gz
GCA_000236255.1,GCA_000236255.1.fna.gz
GCA_902829705.1,GCA_902829705.1.fna.gz
GCA_000959425.1,GCA_000959425.1.fna.gz
GCA_013393845.1,GCA_013393845.1.fna.gz
GCA_014142505.1,GCA_014142505.1.fna.gz
GCA_000411195.1,GCA_000411195.1.fna.gz
GCA_000512745.2,GCA_000512745.2.fna.gz
GCA_000018725.1,GCA_000018725.1.fna.gz
GCA_000833495.1,GCA_000833495.1.fna.gz
GCA_000305335.2,GCA_000305335.2.fna.gz
GCA_900457095.1,GCA_900457095.1.fna.gz
GCA_014211915.1,GCA_014211915.1.fna.gz
GCA_000831125.1,GCA_000831125.1.fna.gz
GCA_022494035.1,GCA_022494035.1.fna.gz
GCA_022221025.1,GCA_022221025.1.fna.gz
GCA_019930705.1,GCA_019930705.1.fna.gz
GCA_020139275.1,GCA_020139275.1.fna.gz
GCA_022220625.1,GCA_022220625.1.fna.gz
GCA_022494115.1,GCA_022494115.1.fna.gz
GCA_900143035.1,GCA_900143035.1.fna.gz
GCA_000047365.1,GCA_000047365.1.fna.gz
GCA_000008145.1,GCA_000008145.1.fna.gz
GCA_014142515.1,GCA_014142515.1.fna.gz
GCA_000765375.1,GCA_000765375.1.fna.gz
GCA_902829935.1,GCA_902829935.1.fna.gz
GCA_000018905.1,GCA_000018905.1.fna.gz
GCA_023277525.1,GCA_023277525.1.fna.gz
GCA_016603995.1,GCA_016603995.1.fna.gz
GCA_934835135.1,GCA_934835135.1.fna.gz
GCA_000195675.1,GCA_000195675.1.fna.gz
GCA_014223075.1,GCA_014223075.1.fna.gz
GCA_900635745.1,GCA_900635745.1.fna.gz
GCA_000709455.1,GCA_000709455.1.fna.gz
GCA_900118875.1,GCA_900118875.1.fna.gz
GCA_017301255.1,GCA_017301255.1.fna.gz
GCA_902830265.1,GCA_902830265.1.fna.gz
GCA_019930865.1,GCA_019930865.1.fna.gz
GCA_900447495.1,GCA_900447495.1.fna.gz
GCA_900461175.1,GCA_900461175.1.fna.gz
GCA_016881785.1,GCA_016881785.1.fna.gz
GCA_015276615.1,GCA_015276615.1.fna.gz
GCA_014228895.1,GCA_014228895.1.fna.gz
GCA_023278445.1,GCA_023278445.1.fna.gz
GCA_013834525.1,GCA_013834525.1.fna.gz
GCA_000504685.1,GCA_000504685.1.fna.gz
GCA_016403305.1,GCA_016403305.1.fna.gz
GCA_016082245.1,GCA_016082245.1.fna.gz
GCA_017604285.1,GCA_017604285.1.fna.gz
GCA_016804045.1,GCA_016804045.1.fna.gz
GCA_945901455.1,GCA_945901455.1.fna.gz
GCA_014228185.1,GCA_014228185.1.fna.gz
GCA_943912815.1,GCA_943912815.1.fna.gz
GCA_900444845.1,GCA_900444845.1.fna.gz
GCA_900101135.1,GCA_900101135.1.fna.gz
GCA_943914975.1,GCA_943914975.1.fna.gz
GCA_900450995.1,GCA_900450995.1.fna.gz
GCA_916720675.1,GCA_916720675.1.fna.gz
GCA_016861425.1,GCA_016861425.1.fna.gz
GCA_000246655.2,GCA_000246655.2.fna.gz
GCA_918417535.1,GCA_918417535.1.fna.gz
GCA_000701165.2,GCA_000701165.2.fna.gz
GCA_016727265.1,GCA_016727265.1.fna.gz
GCA_016618235.1,GCA_016618235.1.fna.gz
GCA_023708745.1,GCA_023708745.1.fna.gz
GCA_017168055.1,GCA_017168055.1.fna.gz
GCA_945970865.1,GCA_945970865.1.fna.gz
GCA_937925145.1,GCA_937925145.1.fna.gz
GCA_916438805.1,GCA_916438805.1.fna.gz
GCA_017169545.1,GCA_017169545.1.fna.gz
GCA_020881955.1,GCA_020881955.1.fna.gz
GCA_937923835.1,GCA_937923835.1.fna.gz
GCA_015353655.1,GCA_015353655.1.fna.gz
GCA_902386035.1,GCA_902386035.1.fna.gz
GCA_019243165.1,GCA_019243165.1.fna.gz
GCA_016653675.1,GCA_016653675.1.fna.gz
GCA_900446175.1,GCA_900446175.1.fna.gz
GCA_918429185.1,GCA_918429185.1.fna.gz
GCA_021609925.1,GCA_021609925.1.fna.gz
GCA_000244815.3,GCA_000244815.3.fna.gz
GCA_900447245.1,GCA_900447245.1.fna.gz
GCA_937897765.1,GCA_937897765.1.fna.gz
GCA_015275235.1,GCA_015275235.1.fna.gz
GCA_902167705.1,GCA_902167705.1.fna.gz
GCA_934832395.1,GCA_934832395.1.fna.gz
GCA_938009915.1,GCA_938009915.1.fna.gz
GCA_022289365.1,GCA_022289365.1.fna.gz
GCA_000368945.1,GCA_000368945.1.fna.gz
GCA_905373135.1,GCA_905373135.1.fna.gz
GCA_900455075.1,GCA_900455075.1.fna.gz
GCA_900006675.1,GCA_900006675.1.fna.gz
GCA_020985345.1,GCA_020985345.1.fna.gz
GCA_916438935.1,GCA_916438935.1.fna.gz
GCA_013820225.1,GCA_013820225.1.fna.gz
GCA_023278485.1,GCA_023278485.1.fna.gz
GCA_014224445.1,GCA_014224445.1.fna.gz
GCA_015276475.1,GCA_015276475.1.fna.gz
GCA_014229115.1,GCA_014229115.1.fna.gz
GCA_015138375.1,GCA_015138375.1.fna.gz
GCA_013186255.1,GCA_013186255.1.fna.gz
GCA_018500295.1,GCA_018500295.1.fna.gz
GCA_902833275.1,GCA_902833275.1.fna.gz
GCA_017298715.1,GCA_017298715.1.fna.gz
GCA_900118905.1,GCA_900118905.1.fna.gz
GCA_000830965.1,GCA_000830965.1.fna.gz
GCA_020731585.1,GCA_020731585.1.fna.gz
GCA_020736125.1,GCA_020736125.1.fna.gz
GCA_000318015.1,GCA_000318015.1.fna.gz
GCA_000413095.1,GCA_000413095.1.fna.gz
GCA_934842235.1,GCA_934842235.1.fna.gz
GCA_019992625.1,GCA_019992625.1.fna.gz
GCA_016604165.1,GCA_016604165.1.fna.gz
GCA_900087685.2,GCA_900087685.2.fna.gz
GCA_000817065.1,GCA_000817065.1.fna.gz
GCA_900639465.1,GCA_900639465.1.fna.gz
GCA_020882115.1,GCA_020882115.1.fna.gz
GCA_014884505.1,GCA_014884505.1.fna.gz
GCA_902829895.1,GCA_902829895.1.fna.gz
GCA_000567945.1,GCA_000567945.1.fna.gz
GCA_014142545.1,GCA_014142545.1.fna.gz
GCA_000759485.1,GCA_000759485.1.fna.gz
GCA_019972895.1,GCA_019972895.1.fna.gz
GCA_000834375.1,GCA_000834375.1.fna.gz
GCA_000755845.1,GCA_000755845.1.fna.gz
GCA_000764955.1,GCA_000764955.1.fna.gz
GCA_022353785.1,GCA_022353785.1.fna.gz
GCA_022220665.1,GCA_022220665.1.fna.gz
GCA_015482805.1,GCA_015482805.1.fna.gz
GCA_000438585.1,GCA_000438585.1.fna.gz
GCA_021655215.1,GCA_021655215.1.fna.gz
GCA_018460045.1,GCA_018460045.1.fna.gz
GCA_020138435.1,GCA_020138435.1.fna.gz
GCA_000832445.1,GCA_000832445.1.fna.gz
GCA_021398235.1,GCA_021398235.1.fna.gz
GCA_022354245.1,GCA_022354245.1.fna.gz
GCA_000039765.1,GCA_000039765.1.fna.gz
GCA_900497025.1,GCA_900497025.1.fna.gz
GCA_000203955.1,GCA_000203955.1.fna.gz
GCA_018332435.1,GCA_018332435.1.fna.gz
GCA_000740945.1,GCA_000740945.1.fna.gz
GCA_000015085.1,GCA_000015085.1.fna.gz
GCA_014142575.1,GCA_014142575.1.fna.gz
GCA_000169595.1,GCA_000169595.1.fna.gz
GCA_000585655.1,GCA_000585655.1.fna.gz
GCA_000480275.1,GCA_000480275.1.fna.gz
GCA_902829645.1,GCA_902829645.1.fna.gz
GCA_900639545.1,GCA_900639545.1.fna.gz
GCA_000317995.1,GCA_000317995.1.fna.gz
GCA_000271865.1,GCA_000271865.1.fna.gz
GCA_012647025.1,GCA_012647025.1.fna.gz
GCA_016603905.1,GCA_016603905.1.fna.gz
GCA_016604645.1,GCA_016604645.1.fna.gz
GCA_934864425.1,GCA_934864425.1.fna.gz
GCA_918291855.1,GCA_918291855.1.fna.gz
GCA_000413115.1,GCA_000413115.1.fna.gz
GCA_000317955.1,GCA_000317955.1.fna.gz
GCA_015277395.1,GCA_015277395.1.fna.gz
GCA_000195815.1,GCA_000195815.1.fna.gz
GCA_900453465.1,GCA_900453465.1.fna.gz
GCA_000192105.1,GCA_000192105.1.fna.gz
GCA_000830945.1,GCA_000830945.1.fna.gz
GCA_900118735.1,GCA_900118735.1.fna.gz
GCA_017298775.1,GCA_017298775.1.fna.gz
GCA_013186195.1,GCA_013186195.1.fna.gz
GCA_900460985.1,GCA_900460985.1.fna.gz
GCA_014169815.1,GCA_014169815.1.fna.gz
GCA_900106685.1,GCA_900106685.1.fna.gz
GCA_015276885.1,GCA_015276885.1.fna.gz
GCA_015276515.1,GCA_015276515.1.fna.gz
GCA_023278505.1,GCA_023278505.1.fna.gz
GCA_013820465.1,GCA_013820465.1.fna.gz
GCA_900445195.1,GCA_900445195.1.fna.gz
GCA_900115025.1,GCA_900115025.1.fna.gz
GCA_019048545.1,GCA_019048545.1.fna.gz
GCA_938022445.1,GCA_938022445.1.fna.gz
GCA_013337725.1,GCA_013337725.1.fna.gz
GCA_000148565.2,GCA_000148565.2.fna.gz
GCA_000967095.1,GCA_000967095.1.fna.gz
GCA_000309015.1,GCA_000309015.1.fna.gz
GCA_934838455.1,GCA_934838455.1.fna.gz
GCA_015274875.1,GCA_015274875.1.fna.gz
GCA_905115105.1,GCA_905115105.1.fna.gz
GCA_915066945.1,GCA_915066945.1.fna.gz
GCA_925297955.1,GCA_925297955.1.fna.gz
GCA_000217475.3,GCA_000217475.3.fna.gz
GCA_010523255.1,GCA_010523255.1.fna.gz
GCA_918415925.1,GCA_918415925.1.fna.gz
GCA_019243605.1,GCA_019243605.1.fna.gz
GCA_017168015.1,GCA_017168015.1.fna.gz
GCA_900000185.2,GCA_900000185.2.fna.gz
GCA_000474255.1,GCA_000474255.1.fna.gz
GCA_902729455.1,GCA_902729455.1.fna.gz
GCA_013636415.1,GCA_013636415.1.fna.gz
GCA_000348085.2,GCA_000348085.2.fna.gz
GCA_013725995.1,GCA_013725995.1.fna.gz
GCA_019668685.1,GCA_019668685.1.fna.gz
GCA_938015305.1,GCA_938015305.1.fna.gz
GCA_900454925.1,GCA_900454925.1.fna.gz
GCA_902373525.1,GCA_902373525.1.fna.gz
GCA_022819285.1,GCA_022819285.1.fna.gz
GCA_000510765.1,GCA_000510765.1.fna.gz
GCA_023708245.1,GCA_023708245.1.fna.gz
GCA_019443645.1,GCA_019443645.1.fna.gz
GCA_012222705.1,GCA_012222705.1.fna.gz
GCA_918425445.1,GCA_918425445.1.fna.gz
GCA_000243595.3,GCA_000243595.3.fna.gz
GCA_000759385.1,GCA_000759385.1.fna.gz
GCA_015275935.1,GCA_015275935.1.fna.gz
GCA_022289035.1,GCA_022289035.1.fna.gz
GCA_016761735.1,GCA_016761735.1.fna.gz
GCA_000367865.1,GCA_000367865.1.fna.gz
GCA_901543815.1,GCA_901543815.1.fna.gz
GCA_938018175.1,GCA_938018175.1.fna.gz
GCA_927911765.1,GCA_927911765.1.fna.gz
GCA_000163615.3,GCA_000163615.3.fna.gz
GCA_016755915.1,GCA_016755915.1.fna.gz
GCA_014169715.1,GCA_014169715.1.fna.gz
GCA_016888905.1,GCA_016888905.1.fna.gz
GCA_015276755.1,GCA_015276755.1.fna.gz
GCA_015277095.1,GCA_015277095.1.fna.gz
GCA_016881805.1,GCA_016881805.1.fna.gz
GCA_900446975.1,GCA_900446975.1.fna.gz
GCA_013186055.1,GCA_013186055.1.fna.gz
GCA_017298975.1,GCA_017298975.1.fna.gz
GCA_900118635.1,GCA_900118635.1.fna.gz
GCA_000175535.1,GCA_000175535.1.fna.gz
GCA_000834795.1,GCA_000834795.1.fna.gz
GCA_000241875.1,GCA_000241875.1.fna.gz
GCA_015276995.1,GCA_015276995.1.fna.gz
GCA_000413075.1,GCA_000413075.1.fna.gz
GCA_934841355.1,GCA_934841355.1.fna.gz
GCA_016603105.1,GCA_016603105.1.fna.gz
GCA_016604115.1,GCA_016604115.1.fna.gz
GCA_000026585.1,GCA_000026585.1.fna.gz
GCA_014076535.1,GCA_014076535.1.fna.gz
GCA_944322915.1,GCA_944322915.1.fna.gz
GCA_000284575.1,GCA_000284575.1.fna.gz
GCA_000211155.1,GCA_000211155.1.fna.gz
GCA_900475145.1,GCA_900475145.1.fna.gz
GCA_900639615.1,GCA_900639615.1.fna.gz
GCA_902829835.1,GCA_902829835.1.fna.gz
GCA_000480295.1,GCA_000480295.1.fna.gz
GCA_000152285.1,GCA_000152285.1.fna.gz
GCA_019643135.1,GCA_019643135.1.fna.gz
GCA_016790545.1,GCA_016790545.1.fna.gz
GCA_018332395.1,GCA_018332395.1.fna.gz
GCA_000834475.1,GCA_000834475.1.fna.gz
GCA_000959165.1,GCA_000959165.1.fna.gz
GCA_000009485.1,GCA_000009485.1.fna.gz
GCA_000210835.1,GCA_000210835.1.fna.gz
GCA_022494455.1,GCA_022494455.1.fna.gz
GCA_022220525.1,GCA_022220525.1.fna.gz
GCA_016027155.1,GCA_016027155.1.fna.gz
GCA_000009445.1,GCA_000009445.1.fna.gz
GCA_017901035.1,GCA_017901035.1.fna.gz
GCA_022220905.1,GCA_022220905.1.fna.gz
GCA_000186585.1,GCA_000186585.1.fna.gz
GCA_000009925.1,GCA_000009925.1.fna.gz
GCA_000236215.4,GCA_000236215.4.fna.gz
GCA_000016945.1,GCA_000016945.1.fna.gz
GCA_000833235.1,GCA_000833235.1.fna.gz
GCA_018332415.1,GCA_018332415.1.fna.gz
GCA_019643195.1,GCA_019643195.1.fna.gz
GCA_018274335.1,GCA_018274335.1.fna.gz
GCA_902829665.1,GCA_902829665.1.fna.gz
GCA_900460605.1,GCA_900460605.1.fna.gz
GCA_016743895.1,GCA_016743895.1.fna.gz
GCA_900639595.1,GCA_900639595.1.fna.gz
GCA_000091645.1,GCA_000091645.1.fna.gz
GCA_000219765.1,GCA_000219765.1.fna.gz
GCA_016603965.1,GCA_016603965.1.fna.gz
GCA_016603475.1,GCA_016603475.1.fna.gz
GCA_934836705.1,GCA_934836705.1.fna.gz
GCA_905198105.1,GCA_905198105.1.fna.gz
GCA_918297905.1,GCA_918297905.1.fna.gz
GCA_000338595.1,GCA_000338595.1.fna.gz
GCA_014228355.1,GCA_014228355.1.fna.gz
GCA_000255275.1,GCA_000255275.1.fna.gz
GCA_902385945.1,GCA_902385945.1.fna.gz
GCA_000174975.1,GCA_000174975.1.fna.gz
GCA_900088605.1,GCA_900088605.1.fna.gz
GCA_900118775.1,GCA_900118775.1.fna.gz
GCA_017299575.1,GCA_017299575.1.fna.gz
GCA_000009865.1,GCA_000009865.1.fna.gz
GCA_902833385.1,GCA_902833385.1.fna.gz
GCA_900635105.1,GCA_900635105.1.fna.gz
GCA_011605485.1,GCA_011605485.1.fna.gz
GCA_016881845.1,GCA_016881845.1.fna.gz
GCA_015276555.1,GCA_015276555.1.fna.gz
GCA_015277195.1,GCA_015277195.1.fna.gz
GCA_000146265.4,GCA_000146265.4.fna.gz
GCA_013813425.1,GCA_013813425.1.fna.gz
GCA_916048645.1,GCA_916048645.1.fna.gz
GCA_905372075.1,GCA_905372075.1.fna.gz
GCA_020808945.1,GCA_020808945.1.fna.gz
GCA_000399665.1,GCA_000399665.1.fna.gz
GCA_934842395.1,GCA_934842395.1.fna.gz
GCA_015275985.1,GCA_015275985.1.fna.gz
GCA_905115165.1,GCA_905115165.1.fna.gz
