#assembly_accession,organism_name
GCA_002287175.1,Methanobacterium bryantii
GCA_014962245.1,Thermosphaera aggregans
GCA_900012635.1,Thermococcus chitonophagus
GCA_001639265.1,Methanobrevibacter filiformis
GCA_001433455.1,Thermococcus barophilus
GCA_004323575.1,Aeropyrum pernix
GCA_003992375.1,Halomicrobium mukohataei
GCA_011043045.1,Archaeoglobus veneficus
GCA_013331025.1,Methanobacterium subterraneum
GCA_010692885.1,Halogeometricum borinquense
GCA_004799645.1,Natronorubrum bangense
GCA_001483125.1,Haloterrigena turkmenica
GCA_014646535.1,Thermocladium modestius
GCA_900188065.1,Halorubrum vacuolatum
GCA_000006805.1,Halobacterium salinarum NRC-1
GCA_001639275.1,Methanobrevibacter oralis
GCA_017409525.1,Methanobrevibacter sp.
GCA_000009965.1,Thermococcus kodakarensis KOD1
GCA_005890195.1,Natrinema pallidum
GCA_009729055.1,Sulfurisphaera ohwakuensis
GCA_000011105.1,Pyrococcus horikoshii OT3
GCA_002214385.1,Thermococcus gorgonarius
GCA_002214485.1,Thermococcus pacificus
GCA_002214505.1,Thermococcus siculi
GCA_027375495.1,Ferroplasma acidiphilum
GCA_000145295.1,Methanothermobacter marburgensis str. Marburg
GCA_013377755.1,Methanofollis tationis
GCA_022768105.1,Methanobrevibacter ruminantium
GCA_003250025.1,Methanocorpusculum labreanum
GCA_012799355.1,Methanoculleus bourgensis
GCA_015662535.1,Archaeoglobus profundus
GCA_005576615.1,Natrinema versiforme
GCA_017994055.1,Methanothrix sp.
GCA_017994915.1,Methanoculleus sp.
GCA_032304395.1,Thermococcus waiotapuensis
GCA_020011555.1,Methanimicrococcus blatticola
GCA_023256035.1,Desulfurococcus amylolyticus
GCA_022064045.1,Metallosphaera javensis (ex Hofmann et al. 2022)
GCA_024372745.1,Methanocalculus taiwanensis
GCA_024022995.1,Thermococcus aggregans
GCA_013329795.1,Sulfurisphaera tokodaii
GCA_001006045.1,Geoglobus ahangari
GCA_902760885.1,uncultured euryarchaeote
GCA_010692905.1,Haloferax alexandrinus
GCA_903856155.1,uncultured archaeon
GCA_900095295.1,Methanobacterium congolense
GCA_900095385.1,Methanoculleus chikugoensis
GCA_026627015.1,Pyrobaculum arsenaticum
GCA_031165565.1,Natrinema thermotolerans
GCA_002214525.1,Thermococcus sp. P6
GCA_017357525.1,Methanofollis aquaemaris
GCA_024054535.1,Thermococcus alcaliphilus
GCA_900095815.1,Methanothermobacter wolfeii
GCA_013330375.1,Methanothermobacter thermautotrophicus
GCA_900112205.1,Halobiforma haloterrestris
GCA_003610195.1,Halopiger aswanensis
GCA_015661585.1,Methanothermococcus okinawensis
GCA_018132105.1,Methanocalculus chunghsingensis
GCA_012027685.1,Thermococcus sp. 9N3
GCA_000265525.1,Thermococcus cleftensis
GCA_012027555.1,Thermococcus sp. CX2
GCA_002506645.1,Vulcanisaeta distributa
GCA_001508065.1,Thermococcus sibiricus
GCA_902797085.1,uncultured Methanobacteriaceae archaeon
GCA_937902655.1,uncultured Methanobacterium sp.
GCA_937875365.1,uncultured Methanosarcina sp.
GCA_937876425.1,uncultured Methanocorpusculum sp.
GCA_000007225.1,Pyrobaculum aerophilum str. IM2
GCA_022870485.1,Halococcus dombrowskii
GCA_003634715.1,Haloarcula quadrata
GCA_903922675.1,uncultured Methanosaeta sp.
GCA_903890195.1,uncultured Methanosarcinales archaeon
GCA_937968035.1,uncultured Methanomethylovorans sp.
GCA_903890175.1,uncultured Methanomicrobiales archaeon
GCA_937874985.1,uncultured Methanoculleus sp.
GCA_008245085.1,Pyrococcus furiosus DSM 3638
GCA_000008645.1,Methanothermobacter thermautotrophicus str. Delta H
GCA_002214565.1,Thermococcus radiotolerans
GCA_000007345.1,Methanosarcina acetivorans C2A
GCA_000007185.1,Methanopyrus kandleri AV19
GCA_946000995.1,Methanobrevibacter gottschalkii
GCA_003111625.1,Methanobrevibacter thaueri
GCA_020907805.1,Methanobrevibacter woesei
GCA_029012665.1,Methanobrevibacter wolinii
GCA_000007065.1,Methanosarcina mazei Go1
GCA_937877375.1,uncultured Nanoarchaeota archaeon
GCA_946300405.1,Thermococcus nautili
GCA_025914035.1,Methanoculleus submarinus
GCA_000970205.1,Methanosarcina mazei S-6
GCA_937124535.1,uncultured Halobacteriales archaeon
GCA_000731985.1,Natrinema altunense
GCA_021963785.1,Halobacterium noricense
GCA_000008665.1,Archaeoglobus fulgidus DSM 4304
GCA_024508235.1,Halococcus qingdaonensis
GCA_000404165.1,Methanobrevibacter sp. AbM4
GCA_001484195.1,Thermococcus celericrescens
GCA_000008085.1,Nanoarchaeum equitans Kin4-M
GCA_000784355.1,Methanolacinia paynteri
GCA_001477655.1,Methanobrevibacter millerae
GCA_000091665.1,Methanocaldococcus jannaschii DSM 2661
GCA_000151205.2,Thermococcus sp. AM4
GCA_002177135.1,Natronolimnobius baerhuensis
GCA_902759475.1,uncultured Methanobrevibacter sp.
GCA_014635105.1,Haloferax sulfurifontis
GCA_000013725.1,Methanococcoides burtonii DSM 6242
GCA_937146515.1,uncultured Halobacteria archaeon
GCA_017873815.1,Halorubrum alkaliphilum
GCA_900102375.1,Halorubrum xinjiangense
GCA_000496155.1,Ferroplasma sp. Type II
GCA_001856845.1,Thermoplasmatales archaeon Gpl
GCA_937919355.1,uncultured Methanofollis sp.
GCA_905236795.1,uncultured Methanosphaera sp.
GCA_949319835.1,uncultured Methanospirillum sp.
GCA_009856205.1,Halorubrum terrestre
GCA_000011585.1,Methanococcus maripaludis S2
GCA_003605635.1,Halonotius pteroides
GCA_000591055.1,Natronomonas moolapensis 8.8.11
GCA_000011125.1,Aeropyrum pernix K1
GCA_000011085.1,Haloarcula marismortui ATCC 43049
GCA_000195935.2,Pyrococcus abyssi GE5
GCA_000007005.1,Saccharolobus solfataricus P2
GCA_000011205.1,Sulfurisphaera tokodaii str. 7
GCA_000195915.1,Thermoplasma acidophilum DSM 1728
GCA_000011185.1,Thermoplasma volcanium GSS1
GCA_938036345.1,uncultured Thermofilaceae archaeon
GCA_905182515.1,uncultured Candidatus Poseidoniales archaeon
GCA_002214545.1,Thermococcus thioreducens
GCA_002116695.1,Acidianus manzaensis
GCA_903989495.1,Haloquadratum walsbyi
GCA_900114585.1,Methanobrevibacter olleyae
GCA_019633745.1,Methanofollis formosanus
GCA_018434005.1,Methanothrix harundinacea
GCA_001953745.1,Natrinema saccharevitans
GCA_024730625.1,Haloferax larsenii
GCA_000011005.1,Methanocella paludicola SANAE
GCA_900156475.1,Natronorubrum thiooxidans
GCA_946480885.1,uncultured Thermoproteales archaeon
GCA_000337315.1,Haloferax volcanii DS2
GCA_015661775.1,Candidatus Caldarchaeum subterraneum
GCA_001402935.1,Acidiplasma cupricumulans
GCA_000013445.1,Methanospirillum hungatei JF-1
GCA_027594145.1,Methanococcoides alaskense
GCA_000012285.1,Sulfolobus acidocaldarius DSM 639
GCA_000152265.2,Ferroplasma acidarmanus Fer1
GCA_015662595.1,Ignisphaera aggregans
GCA_028210945.1,Halorubrum ezzemoulense
GCA_000012545.1,Methanosphaera stadtmanae DSM 3091
GCA_000016385.1,Pyrobaculum arsenaticum DSM 13514
GCA_000211475.1,Pyrococcus sp. NA2
GCA_949319355.1,uncultured Methanospirillaceae archaeon
GCA_937888295.1,uncultured Methanomicrobia archaeon
GCA_028912405.1,Methanogenium marinum
GCA_000026045.1,Natronomonas pharaonis DSM 2160
GCA_009392895.1,Natronorubrum aibiense
GCA_000014945.1,Methanothrix thermoacetophila PT
GCA_000063445.1,Methanocella arvoryzae MRE50
GCA_900110535.1,Halobacterium jilantaiense
GCA_958295735.1,uncultured Cenarchaeum sp.
GCA_000226975.3,Halobiforma lacisalsi AJ5
GCA_902513485.1,uncultured marine group III euryarchaeote
GCA_902511735.1,uncultured marine group I thaumarchaeote
GCA_000009185.1,Haloquadratum walsbyi DSM 16790
GCA_000015825.1,Methanoculleus marisnigri JR1
GCA_000015225.1,Thermofilum pendens Hrk 5
GCA_902377425.1,Halorubrum lipolyticum
GCA_017352095.1,Natrinema longum
GCA_002494345.1,Natrinema ejinorense
GCA_000019605.1,Candidatus Korarchaeum cryptofilum OPF8
GCA_946183165.1,uncultured Thermoplasmata archaeon
GCA_015520595.1,Candidatus Aciduliprofundum boonei
GCA_000723845.1,Haloferax prahovense
GCA_000015205.1,Pyrobaculum islandicum DSM 4184
GCA_000746075.1,Methanobacterium arcticum
GCA_900113615.1,Halorubrum aquaticum
GCA_000385565.1,Archaeoglobus sulfaticallidus PM70-1
GCA_002208625.1,Methanobrevibacter sp. 87.7
GCA_000151105.2,Thermococcus barophilus MP
GCA_023227715.1,Methanobacterium alcaliphilum
GCA_900111485.1,Natrinema hispanicum
GCA_000018305.1,Caldivirga maquilingensis IC-167
GCA_000016605.1,Metallosphaera sedula DSM 5348
GCA_000015945.1,Staphylothermus marinus F1
GCA_937146585.1,uncultured Halorubrum sp.
GCA_014646795.1,Thermogymnomonas acidicola
GCA_000016125.1,Methanococcus maripaludis C5
GCA_000017165.1,Methanococcus vannielii SB
GCA_000281695.1,Natrinema sp. J7-2
GCA_027110435.1,Methanobacterium veterum
GCA_000015765.1,Methanocorpusculum labreanum Z
GCA_000015805.1,Pyrobaculum calidifontis JCM 11548
GCA_900182635.1,Halorubrum cibi
GCA_008806895.1,Halorubrum halophilum
GCA_000200715.1,Cenarchaeum symbiosum A
GCA_000015145.1,Hyperthermus butylicus DSM 5456
GCA_000022205.1,Halorubrum lacusprofundi ATCC 49239
GCA_000017185.1,Methanococcus aeolicus Nankai-3
GCA_000022485.1,Sulfolobus islandicus Y.N.15.51
GCA_028743435.1,Methanobrevibacter smithii ATCC 35061
GCA_009387755.1,Candidatus Micrarchaeum acidiphilum ARMAN-2
GCA_000024305.1,Sulfolobus islandicus L.D.8.5
GCA_000022445.1,Sulfolobus islandicus M.16.4
GCA_000022405.1,Sulfolobus islandicus M.14.25
GCA_000022425.1,Sulfolobus islandicus M.16.27
GCA_000022385.1,Sulfolobus islandicus L.S.2.15
GCA_913757945.1,Methanoculleus sp. 10
GCA_000018465.1,Nitrosopumilus maritimus SCM1
GCA_937140945.1,uncultured Natronomonas sp.
GCA_938083005.1,uncultured Sulfolobales archaeon
GCA_000022465.1,Sulfolobus islandicus Y.G.57.14
GCA_000151085.1,Aciduliprofundum boonei T469
GCA_000019805.1,Pyrobaculum neutrophilum V24Sta
GCA_000017945.1,Ignicoccus hospitalis KIN4/I
GCA_000017625.1,Methanoregula boonei 6A8
GCA_000337855.1,Halogeometricum borinquense DSM 11551
GCA_937877805.1,uncultured Thermoprotei archaeon
GCA_000069025.1,Halobacterium salinarum R1
GCA_000151245.1,Methanobrevibacter smithii DSM 2375
GCA_000023965.1,Halomicrobium mukohataei DSM 12286
GCA_900114835.1,Methanolobus profundi
GCA_029633915.1,Methanomicrobium antiquum
GCA_001571385.1,Methanofollis ethanolicus
GCA_014647115.1,Halarchaeum rubridurum
GCA_014647155.1,Halarchaeum nitratireducens
GCA_000020905.1,Desulfurococcus amylolyticus 1221n
GCA_024500045.1,Methanolobus chelungpuianus
GCA_001399695.1,Acidiplasma aeolicum
GCA_905612275.1,uncultured Candidatus Nitrosopumilus sp.
GCA_000023945.1,Halorhabdus utahensis DSM 12940
GCA_000151225.1,Methanobrevibacter smithii DSM 2374
GCA_000021965.1,Methanosphaerula palustris E1-9c
GCA_937927855.1,uncultured Methanolinea sp.
GCA_000306765.2,Haloferax mediterranei ATCC 33500
GCA_024807035.1,Methanococcus voltae PS
GCA_001888095.1,Methanohalophilus portucalensis FDF-1
GCA_000969885.1,Methanosarcina thermophila TM-1
GCA_946463545.1,Methanothermococcus thermolithotrophicus DSM 2095
GCA_000166095.1,Methanothermus fervidus DSM 2088
GCA_009729515.1,Sulfuracidifex metallicus DSM 6482 = JCM 9184
GCA_019175345.1,Saccharolobus shibatae B12
GCA_000246985.3,Thermococcus litoralis DSM 5473
GCA_000018365.1,Thermococcus onnurineus NA1
GCA_001315905.1,Thermococcus peptonophilus OG-1 = JCM 9653
GCA_028702935.1,Methanoculleus horonobensis
GCA_938074605.1,uncultured Ignisphaera sp.
GCA_000215995.1,Pyrococcus yayanosii CH1
GCA_013388255.1,Methanolobus zinderi
GCA_000025325.1,Haloterrigena turkmenica DSM 5511
GCA_017873855.1,Methanolinea mesophila
GCA_000025865.1,Methanohalophilus mahii DSM 5219
GCA_000025625.1,Natrialba magadii ATCC 43099
GCA_900114455.1,Halogranum rubrum
GCA_900113245.1,Halopelagius inordinatus
GCA_900156425.1,Haladaptatus litoreus
GCA_900112175.1,Halogeometricum rufum
GCA_000175555.1,Saccharolobus solfataricus 98/2
GCA_020614395.1,Salarchaeum japonicum
GCA_900107665.1,Haloplanus vescus
GCA_900115785.1,Halogeometricum limi
GCA_900215575.1,Natronoarchaeum philippinense
GCA_003086435.1,Acidianus hospitalis
GCA_015163485.1,Geoglobus acetivorans
GCA_000148385.1,Vulcanisaeta distributa DSM 14429
GCA_000025285.1,Archaeoglobus profundus DSM 5631
GCA_000092305.1,Methanocaldococcus infernus ME
GCA_000023985.1,Methanocaldococcus fervens AG86
GCA_031624295.1,Haloarcula tradensis
GCA_014647095.1,Haloarcula salaria
GCA_000024625.1,Methanocaldococcus vulcanius M7
GCA_015662375.1,Thermococcus paralvinellae
GCA_000145985.1,Ignisphaera aggregans DSM 17230
GCA_000966265.1,Palaeococcus ferrophilus DSM 13482
GCA_001971705.1,Natronorubrum daqingense
GCA_000025505.1,Ferroglobus placidus DSM 10642
GCA_000092465.1,Staphylothermus hellenicus DSM 12710
GCA_000022365.1,Thermococcus gammatolerans EJ3
GCA_000327485.1,Methanoregula formicica SMSP
GCA_000022545.1,Thermococcus sibiricus MM 739
GCA_003201765.2,Acidianus sulfidivorans JP7
GCA_900116205.1,Halostagnicola kamekurae
GCA_000092185.1,Thermosphaera aggregans DSM 11486
GCA_003990725.2,Halorubrum sp. PV6
GCA_000223905.1,Haloarcula hispanica ATCC 33960
GCA_000024185.1,Methanobrevibacter ruminantium M1
GCA_000828535.1,Methanococcus maripaludis KA1
GCA_000828555.1,Methanococcus maripaludis OS7
GCA_900108095.1,Natronorubrum sediminis
GCA_000025525.1,Methanocaldococcus sp. FS406-22
GCA_000196655.1,Methanohalobium evestigatum Z-7303
GCA_000179575.2,Methanothermococcus okinawensis IH1
GCA_000243455.2,Methanotorris formicicus Mc-S-70
GCA_934846365.1,uncultured Nitrososphaerota archaeon
GCA_013330515.1,Methermicoccus shengliensis
GCA_003369835.1,Halorussus rarus
GCA_900107195.1,Halobellus clavatus
GCA_900102305.1,Halorientalis regularis
GCA_900110465.1,Halogranum amylolyticum
GCA_900103715.1,Halogranum gelatinilyticum
GCA_003688715.1,Haloplanus aerogenes
GCA_000337755.1,Haloarcula californiae ATCC 33799
GCA_018200015.1,Haloarcula sinaiiensis ATCC 33800
GCA_000337775.1,Haloarcula vallismortis ATCC 29715
GCA_000337795.1,Haloferax denitrificans ATCC 35960
GCA_000337815.1,Haloferax mucosum ATCC BAA-1512
GCA_000337835.1,Haloferax sulfurifontis ATCC BAA-897
GCA_002412065.1,Candidatus Parvarchaeum acidiphilum ARMAN-4
GCA_002412085.1,Candidatus Parvarchaeum acidophilus ARMAN-5
GCA_000144915.1,Acidilobus saccharovorans 345-15
GCA_009387835.1,Thermoplasmatales archaeon A-plasma
GCA_000496135.1,Thermoplasmatales archaeon E-plasma
GCA_031961245.1,Thermoplasmatales archaeon I-plasma
GCA_003173355.1,Methanospirillum lacunae
GCA_000243315.1,Metallosphaera yellowstonensis MK1
GCA_009791395.1,Halomarina oriensis
GCA_001006085.1,Desulfurococcus mucosus DSM 2161
GCA_000217995.1,Methanosalsum zhilinae DSM 4017
GCA_000147875.1,Methanolacinia petrolearia DSM 11571
GCA_023167465.1,Methanothermobacter tenebrarum
GCA_015209645.1,Fervidicoccus fontis
GCA_000194625.1,Archaeoglobus veneficus SNP6
GCA_000223395.1,Pyrolobus fumarii 1A
GCA_000328685.1,Natronococcus occultus SP4
GCA_000711215.1,Methanomicrobium mobile BP
GCA_000813245.1,Thermofilum adornatum 1505
GCA_000247545.1,Pyrobaculum oguniense TE7
GCA_001307315.1,Halolamina pelagica
GCA_900108165.1,Halobellus limi
GCA_017873625.1,Methanobacterium petrolearium
GCA_030296715.1,Methanobacterium ferruginis
GCA_025998175.1,Nitrosopumilus zosterae
GCA_000405225.1,Nanoarchaeota archaeon SCGC AAA011-D5
GCA_000405245.1,Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16
GCA_000404525.1,Diapherotrites archaeon SCGC AAA011-N19
GCA_002156705.1,Natrarchaeobaculum aegyptiacum
GCA_000230955.3,Halobacterium sp. DL1
GCA_024495425.1,Haloarchaeobius litoreus
GCA_002906575.1,Salinigranum rubrum
GCA_020567525.1,Halorubellus salinus
GCA_024464595.1,Halobellus litoreus
GCA_024494695.1,Natronoarchaeum rubrum
GCA_000224475.1,halophilic archaeon DL31
GCA_946480575.1,uncultured Nitrososphaera sp.
GCA_000186365.1,Desulfurococcus mucosus DSM 2162
GCA_024494575.1,Halorubrum salinum
GCA_900114435.1,Halomicrobium zhouii
GCA_000237865.1,Haloquadratum walsbyi C23
GCA_000231015.3,Desulfurococcus amylolyticus DSM 16532
GCA_000253055.1,Thermoproteus tenax Kra 1
GCA_024170505.1,Methanocalculus alkaliphilus
GCA_024808815.1,Methanosalsum natronophilum
GCA_000196895.1,Halalkalicoccus jeotgali B3
GCA_001027005.1,Methanosarcina barkeri CM1
GCA_000337455.1,Halosimplex carlsbadense 2-9-1
GCA_000376445.1,Haladaptatus paucihalophilus DX253
GCA_000217715.1,Halopiger xanaduensis SH-6
GCA_000517625.1,Halostagnicola larsenii XH-48
GCA_000328525.1,Halovivax ruber XH-70
GCA_000230735.3,Natrinema pellirubrum DSM 15624
GCA_000337655.1,Natronobacterium gregoryi SP2
GCA_000241145.2,Candidatus Nitrosarchaeum limnium BG20
GCA_000242875.3,Candidatus Nitrosopumilus salaria BD31
GCA_000828575.1,Methanothermobacter sp. CaT2
GCA_000328665.1,Methanomethylovorans hollandica DSM 15978
GCA_001748385.1,Vulcanisaeta thermophila
GCA_020055625.2,Methanobacterium paludis
GCA_013415905.1,Halosimplex pelagicum
GCA_023204835.1,Salinarchaeum laminariae
GCA_013415885.1,Halosimplex rubrum
GCA_026586665.1,Halovenus rubra
GCA_024494645.1,Halohasta litorea
GCA_024494725.1,Haloplanus ruber
GCA_000191585.1,Methanobacterium lacus
GCA_000214415.1,Methanotorris igneus Kol 5
GCA_000204585.1,Candidatus Nitrosarchaeum limnium SFB1
GCA_000220375.1,Candidatus Nanosalina sp. J07AB43
GCA_000220355.1,Candidatus Nanosalinarum sp. J07AB56
GCA_900100385.1,Halovenus aranensis
GCA_000189795.2,Methanobrevibacter smithii TS145A
GCA_000189815.2,Methanobrevibacter smithii TS145B
GCA_000189835.2,Methanobrevibacter smithii TS146A
GCA_000189855.2,Methanobrevibacter smithii TS146B
GCA_000189875.2,Methanobrevibacter smithii TS146C
GCA_000189895.2,Methanobrevibacter smithii TS146D
GCA_000189915.2,Methanobrevibacter smithii TS146E
GCA_000189935.2,Methanobrevibacter smithii TS147A
GCA_000189955.2,Methanobrevibacter smithii TS147B
GCA_000189975.2,Methanobrevibacter smithii TS147C
GCA_000189995.2,Methanobrevibacter smithii TS94A
GCA_000190015.2,Methanobrevibacter smithii TS94B
GCA_000190035.2,Methanobrevibacter smithii TS94C
GCA_000190055.2,Methanobrevibacter smithii TS95A
GCA_000190075.2,Methanobrevibacter smithii TS95B
GCA_000190095.2,Methanobrevibacter smithii TS95C
GCA_000190115.2,Methanobrevibacter smithii TS95D
GCA_000190135.2,Methanobrevibacter smithii TS96A
GCA_000190155.2,Methanobrevibacter smithii TS96B
GCA_000190175.2,Methanobrevibacter smithii TS96C
GCA_000430485.1,Thermococcus sp. PK
GCA_000402775.1,Euryarchaeota archaeon SCGC AAA252-I15
GCA_000402075.1,Thaumarchaeota archaeon SCGC AAA007-O23
GCA_000372505.1,Marine Group III euryarchaeote SCGC AAA007-O11
GCA_000382725.2,Marine Group III euryarchaeote SCGC AAA288-E19
GCA_000698785.1,Nitrososphaera viennensis EN76
GCA_000427685.1,Haloplanus natans DSM 17983
GCA_000189575.1,Sulfolobus islandicus HVE10/4
GCA_000189555.1,Sulfolobus islandicus REY15A
GCA_000336695.1,Halococcus morrhuae DSM 1307
GCA_014646875.1,Halobellus salinus
GCA_014647415.1,Haloarcula sebkhae
GCA_000213215.1,Acidianus hospitalis W1
GCA_000243255.1,Methanoplanus limicola DSM 2279
GCA_025340205.1,Ignicoccus pacificus DSM 13166
GCA_001481685.1,Ignicoccus islandicus DSM 13165
GCA_023261665.1,Vulcanisaeta moutnovskia
GCA_000190315.1,Vulcanisaeta moutnovskia 768-28
GCA_000204415.1,Methanothrix soehngenii GP6
GCA_000192595.1,Candidatus Parvarchaeum acidiphilum ARMAN-4_'5-way FS'
GCA_000192615.1,Candidatus Parvarchaeum acidophilus ARMAN-5_'5-way FS'
GCA_900103505.1,Haloarchaeobius iranensis
GCA_000193375.1,Thermoproteus uzoniensis 768-20
GCA_000220175.2,Nitrosarchaeum koreense MY1
GCA_000204925.1,Metallosphaera cuprina Ar-4
GCA_020700235.1,Haladaptatus pallidirubidus
GCA_001593955.1,Halalkalicoccus paucihalophilus
GCA_019823105.1,Halobaculum magnesiiphilum
GCA_000328925.1,Nitrosopumilus sp. AR
GCA_000328945.1,Nitrosopumilus sp. SJ
GCA_000340315.1,Sulfolobus acidocaldarius N8
GCA_000338775.1,Sulfolobus acidocaldarius Ron12/I
GCA_000382765.1,Marine group II euryarchaeote SCGC AAA288-C18
GCA_000215915.3,Halorhabdus tiamatea SARL4B
GCA_000744315.1,Methanosarcina soligelidi
GCA_002287235.1,Methanosarcina spelaei
GCA_000251105.1,Methanocella conradii HZ254
GCA_000221185.1,Thermococcus sp. 4557
GCA_013391635.1,Natronomonas gomsonensis
GCA_000380865.1,Candidatus Aenigmarchaeota archaeon SCGC AAA011-F07
GCA_000380905.1,Nanoarchaeota archaeon SCGC AAA011-L22
GCA_002355635.1,Halopenitus persicus
GCA_000380705.1,Crenarchaeota archaeon SCGC AAA471-B05
GCA_000405885.1,Crenarchaeota archaeon SCGC AAA471-B23
GCA_000402895.1,Crenarchaeota archaeon SCGC AAA471-C03
GCA_000402095.1,Crenarchaeota archaeon SCGC AAA471-L13
GCA_000399825.1,Crenarchaeota archaeon SCGC AAA471-L14
GCA_000398765.1,Crenarchaeota archaeon SCGC AAA471-O08
GCA_000380685.1,Aigarchaeota archaeon SCGC AAA471-A16
GCA_000402935.1,Aigarchaeota archaeon SCGC AAA471-B22
GCA_000402915.1,Aigarchaeota archaeon SCGC AAA471-D15
GCA_000402965.1,Candidatus Calditenuaceae archaeon SCGC AAA471-E14
GCA_000398485.1,Aigarchaeota archaeon SCGC AAA471-E16
GCA_000405905.1,Candidatus Calditenuaceae archaeon SCGC AAA471-F17
GCA_000398505.1,Aigarchaeota archaeon SCGC AAA471-G05
GCA_000405925.1,Aigarchaeota archaeon SCGC AAA471-I13
GCA_000398525.1,Aigarchaeota archaeon SCGC AAA471-J07
GCA_000398545.1,Aigarchaeota archaeon SCGC AAA471-J08
GCA_000398565.1,Aigarchaeota archaeon JGI 0000001-A7
GCA_000405765.1,Aigarchaeota archaeon JGI 0000001-B8
GCA_000398585.1,Aigarchaeota archaeon JGI 0000001-H6
GCA_000220645.1,Methanococcus maripaludis X1
GCA_000350305.1,Thermoplasmatales archaeon BRNA1
GCA_000317795.1,Caldisphaera lagunensis DSM 15908
GCA_000379085.1,Halomicrobium katesii DSM 19301
GCA_000371805.1,Methanocaldococcus villosus KIN24-T80
GCA_000416065.1,Halonotius sp. J07HN4
GCA_000447865.2,haloarchaeon 3A1-DGR
GCA_000236195.2,Candidatus Haloredivivus sp. G17
GCA_017874695.1,Halarchaeum solikamskense
GCA_900109065.1,Halohasta litchfieldiae
GCA_947597825.1,Methanosphaera cuniculi
GCA_900065925.1,Candidatus Nitrosotalea devanaterra
GCA_902383895.1,Methanomassiliicoccus luminyensis
GCA_000416085.1,halophilic archaeon J07HX64
GCA_000416105.1,halophilic archaeon J07HB67
