GRCh38,"NC_000001.11 Homo sapiens chromosome 1, GRCh38.p14 Primary Assembly"
GCA_000091045.1,"AE017341.1 Cryptococcus neoformans var. neoformans JEC21 chromosome 1, complete sequence"
GCA_000091225.2,AL391737.2 chromosome I of strain GB-M1 of Encephalitozoon cuniculi (Microspora)
GCA_000142805.1,CU928165.1 Lachancea thermotolerans CBS 6340 chromosome A complete sequence
GCA_000143105.2,"GL629720.1 Grosmannia clavigera kw1407 unplaced genomic scaffold GCSC_1, whole genome shotgun sequence"
GCA_000143185.2,"MU410292.1 Schizophyllum commune H4-8 unplaced genomic scaffold SCHCOscaffold_1, whole genome shotgun sequence"
GCA_000143365.1,"CH408042.1 Chaetomium globosum CBS 148.51 scaffold_37 genomic scaffold, whole genome shotgun sequence"
GCA_000143535.4,"CP009805.1 Botrytis cinerea B05.10 chromosome BCIN01, complete sequence"
GCA_000143565.1,"DS547755.1 Laccaria bicolor S238N-H82 LACBIscaffold_1178 genomic scaffold, whole genome shotgun sequence"
GCA_000145635.1,"GL385395.1 Gaeumannomyces graminis var. tritici R3-111a-1 unplaced genomic scaffold supercont2.1, whole genome shotgun sequence"
GCA_000146465.1,"CP001942.1 Encephalitozoon intestinalis ATCC 50506 chromosome I, complete sequence"
GCA_000147375.2,"JH119215.1 Wickerhamomyces anomalus NRRL Y-366 unplaced genomic scaffold scaffold00001, whole genome shotgun sequence"
GCA_000149035.1,"GG697331.1 Glomerella graminicola M1.001 genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000149225.2,"CM000687.1 Saccharomyces kluyveri NRRL Y-12651 chromosome A, whole genome shotgun sequence"
GCA_000149245.3,"CP003820.1 Cryptococcus neoformans var. grubii H99 chromosome 1, complete sequence"
GCA_000149305.1,"CH476759.1 Rhizopus oryzae RA 99-880 supercont3.30 genomic scaffold, whole genome shotgun sequence"
GCA_000149335.2,"GG704916.1 Coccidioides immitis RS genomic scaffold supercont3.6, whole genome shotgun sequence"
GCA_000149365.1,"CH408058.1 Saccharomyces cerevisiae RM11-1a scaffold_17 genomic scaffold, whole genome shotgun sequence"
GCA_000149385.1,"CM000040.1 Cryptococcus neoformans var. neoformans B-3501A chromosome 1, whole genome shotgun sequence"
GCA_000149425.1,"CH408162.1 Pichia guilliermondii ATCC 6260 scaffold_8 genomic scaffold, whole genome shotgun sequence"
GCA_000149445.2,"CH672346.1 Candida albicans WO-1 chromosome 1 supercont1.1 genomic scaffold, whole genome shotgun sequence"
GCA_000149555.1,"CM000578.1 Fusarium verticillioides 7600 chromosome 1, whole genome shotgun sequence"
GCA_000149585.1,"CH476724.1 Ajellomyces capsulatus NAm1 scaffold_99 genomic scaffold, whole genome shotgun sequence"
GCA_000149615.1,"CH476614.1 Aspergillus terreus NIH2624 scaffold_24 genomic scaffold, whole genome shotgun sequence"
GCA_000149645.4,"DS028091.1 Neosartorya fischeri NRRL 181 1099437636659 genomic scaffold, whole genome shotgun sequence"
GCA_000149685.1,"CH981534.1 Lodderomyces elongisporus NRRL YB-4239 supercont1.11 genomic scaffold, whole genome shotgun sequence"
GCA_000149815.1,"DS017246.1 Coccidioides immitis H538.4 supercont1.418 genomic scaffold, whole genome shotgun sequence"
GCA_000149845.2,"KE651166.1 Schizosaccharomyces japonicus yFS275 unplaced genomic scaffold supercont5.1, whole genome shotgun sequence"
GCA_000149865.1,"DS022321.1 Batrachochytrium dendrobatidis JEL423 supercont1.58 genomic scaffold, whole genome shotgun sequence"
GCA_000149895.1,"DS028115.1 Coccidioides immitis RMSCC 2394 supercont1.23 genomic scaffold, whole genome shotgun sequence"
GCA_000149925.1,"DS178455.1 Puccinia graminis f. sp. tritici CRL 75-36-700-3 supercont2.336 genomic scaffold, whole genome shotgun sequence"
GCA_000149985.1,"DS231661.1 Pyrenophora tritici-repentis Pt-1C-BFP supercont1.47 genomic scaffold, whole genome shotgun sequence"
GCA_000150035.1,"DS480658.1 Vanderwaltozyma polyspora DSM 70294 KpolScaffold93 genomic scaffold, whole genome shotgun sequence"
GCA_000150055.1,"DS268114.1 Coccidioides posadasii RMSCC 3488 supercont1.6 genomic scaffold, whole genome shotgun sequence"
GCA_000150185.1,"DS544247.1 Coccidioides posadasii RMSCC 2133 supercont1.53 genomic scaffold, whole genome shotgun sequence"
GCA_000150215.1,"DS544490.1 Coccidioides posadasii RMSCC 3700 supercont1.241 genomic scaffold, whole genome shotgun sequence"
GCA_000150475.2,"KN305531.1 Paracoccidioides brasiliensis Pb03 unplaced genomic scaffold supercont2.1, whole genome shotgun sequence"
GCA_000150505.2,"KE503206.1 Schizosaccharomyces octosporus yFS286 unplaced genomic scaffold supercont6.1, whole genome shotgun sequence"
GCA_000150555.1,"DS560664.1 Coccidioides posadasii RMSCC 1037 supercont1.633 genomic scaffold, whole genome shotgun sequence"
GCA_000150585.1,"DS561217.1 Coccidioides posadasii RMSCC 1038 supercont1.551 genomic scaffold, whole genome shotgun sequence"
GCA_000150615.1,"DS562343.1 Coccidioides posadasii CPA 0020 supercont1.620 genomic scaffold, whole genome shotgun sequence"
GCA_000150645.1,"DS562840.1 Coccidioides posadasii CPA 0066 supercont1.473 genomic scaffold, whole genome shotgun sequence"
GCA_000150675.2,"DS572696.1 Verticillium dahliae VdLs.17 supercont1.2 genomic scaffold, whole genome shotgun sequence"
GCA_000150705.2,"KN293992.1 Paracoccidioides sp. 'lutzii' Pb01 unplaced genomic scaffold supercont2.1, whole genome shotgun sequence"
GCA_000150735.2,"KN275957.1 Paracoccidioides brasiliensis Pb18 unplaced genomic scaffold supercont2.1, whole genome shotgun sequence"
GCA_000150825.1,"DS985239.1 Verticillium albo-atrum VaMs.102 supercont1.26 genomic scaffold, whole genome shotgun sequence"
GCA_000150975.2,"DS989839.1 Arthroderma gypseum CBS 118893 supercont1.18 genomic scaffold, whole genome shotgun sequence"
GCA_000151005.2,"DS990637.2 Ajellomyces capsulatus H88 unplaced genomic scaffold supercont1.2, whole genome shotgun sequence"
GCA_000151035.1,"GG692466.1 Ajellomyces capsulatus H143 genomic scaffold supercont2.48, whole genome shotgun sequence"
GCA_000151065.3,"HF939678.1 Blumeria graminis f. sp. hordei DH14 genomic scaffold, sca001561, whole genome shotgun sequence"
GCA_000151125.2,"ABSU01000068.1 Trichophyton benhamiae CBS 112371 contig02151.0, whole genome shotgun sequence"
GCA_000151145.1,"DS995716.1 Microsporum canis CBS 113480 supercont1.16 genomic scaffold, whole genome shotgun sequence"
GCA_000151175.1,"DS995840.1 Trichophyton equinum CBS 127.97 supercont1.123 genomic scaffold, whole genome shotgun sequence"
GCA_000151295.1,"GG745428.1 Allomyces macrogynus ATCC 38327 genomic scaffold supercont3.101, whole genome shotgun sequence"
GCA_000151335.1,"ACFW01000055.1 Coccidioides posadasii C735 delta SOWgp gcontig_1105601051793, whole genome shotgun sequence"
GCA_000151355.1,"GG699095.1 Nectria haematococca mpVI 77-13-4 chromosome 1 genomic scaffold NECHAsca_208_chr1_2_0, whole genome shotgun sequence"
GCA_000151425.1,"GG700682.1 Trichophyton rubrum CBS 118892 genomic scaffold supercont2.35, whole genome shotgun sequence"
GCA_000151455.1,"GG698586.1 Trichophyton tonsurans CBS 112818 genomic scaffold supercont1.110, whole genome shotgun sequence"
GCA_000151485.1,"CM000921.1 Saccharomyces cerevisiae Sigma1278b chromosome 1, whole genome shotgun sequence"
GCA_000151505.1,"ACYE01000523.1 Trichophyton verrucosum HKI 0517 contig01395_1.f1.exp, whole genome shotgun sequence"
GCA_000151525.2,"ADAS02000001.1 Puccinia triticina 1-1 BBBD Race 1 supercont2.1, whole genome shotgun sequence"
GCA_000151575.2,"JH379045.1 Epichloe festucae E2368 unplaced genomic scaffold scaffold00001, whole genome shotgun sequence"
GCA_000151595.1,"GG753565.1 Blastomyces dermatitidis ATCC 18188 supercont1.4159, whole genome shotgun sequence"
GCA_000151645.1,"FN429986.1 Tuber melanosporum whole genome shotgun sequence assembly, scaffold_1, strain Mel28"
GCA_000166005.1,"GL531763.1 Pyrenophora teres f. teres 0-1 unplaced genomic scaffold scaffold_199, whole genome shotgun sequence"
GCA_000166175.1,"GL541643.1 Microbotryum lychnidis-dioicae p1A1 Lamole unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000166915.1,"AABT01000001.1 Aspergillus terreus ATCC 20542 Contig[0268], whole genome shotgun sequence"
GCA_000166955.1,"AABY01000832.1 Saccharomyces paradoxus NRRL Y-17217 contig_531, whole genome shotgun sequence"
GCA_000166995.1,"AACA01001098.1 Saccharomyces uvarum CLIB 533 strain MCYC 623 contig_812, whole genome shotgun sequence"
GCA_000167015.1,"AACF01000570.1 Naumovozyma castellii NRRL Y-12630 YM476-Contig60, whole genome shotgun sequence"
GCA_000167115.1,"AADM01000713.1 Lachancea waltii NCYC 2644 cont712, whole genome shotgun sequence"
GCA_000167175.1,"AADS01001323.1 Phanerochaete chrysosporium RP-78 White_Rot1323, whole genome shotgun sequence"
GCA_000167675.2,"GL985056.1 Trichoderma reesei QM6a unplaced genomic scaffold TRIREscaffold_1, whole genome shotgun sequence"
GCA_000169275.1,"AAXK01003812.1 Malassezia restricta CBS 7877 MRE_CONTIG_4025, whole genome shotgun sequence"
GCA_000170995.2,"ABDF02000093.1 Trichoderma virens Gv29-8 TRIVIscaffold_93, whole genome shotgun sequence"
GCA_000171015.2,"ABDG02000029.1 Trichoderma atroviride IMI 206040 TRIATcontig_29, whole genome shotgun sequence"
GCA_000174375.1,"ACIW01003280.1 Alternaria brassicicola ATCC 96836 A_brassicicola-1.0.1_Cont483.2, whole genome shotgun sequence"
GCA_000179355.1,"AEAS01000336.1 Kluyveromyces aestuarii ATCC 18862 contig00682, whole genome shotgun sequence"
GCA_000179415.1,"AEAV01000510.1 Kluyveromyces wickerhamii UCD 54-210 contig00953, whole genome shotgun sequence"
GCA_000181435.1,"AAFW02000160.1 Saccharomyces cerevisiae YJM789 chromosome 1 chrI.Contig161, whole genome shotgun sequence"
GCA_000181695.1,"AAYY01000050.1 Malassezia globosa CBS 7966 mgl_sf_1028.1, whole genome shotgun sequence"
GCA_000182075.2,"MU018921.1 Saccharomyces cerevisiae M22 unplaced genomic scaffold Scfld0, whole genome shotgun sequence"
GCA_000182095.2,"ABPD02000001.1 Saccharomyces cerevisiae YPS163 Contig0.1, whole genome shotgun sequence"
GCA_000182115.1,"ABPO01003566.1 Saccharomyces pastorianus Weihenstephan 34/70 Contig51.7, whole genome shotgun sequence"
GCA_000182175.1,"ABSV01000041.1 Saccharomyces cerevisiae AWRI1631 chromosome 1 chr01_212694_216856, whole genome shotgun sequence"
GCA_000182315.2,"ACFL01000453.1 Saccharomyces cerevisiae JAY291 chromosome VI contig6.7, whole genome shotgun sequence"
GCA_000182565.2,"KQ257450.1 Spizellomyces punctatus DAOM BR117 chromosome Unknown supercont1.1, whole genome shotgun sequence"
GCA_000182785.1,"CABH01000326.1 Pichia pastoris DSMZ 70382 whole genome shotgun sequence assembly, contig00326"
GCA_000182805.2,"CABT02001583.1 Sordaria macrospora k-hell, WGS project CABT00000000 data, contig 2.1583, whole genome shotgun sequence"
GCA_000182895.1,"AACS02000001.1 Coprinopsis cinerea okayama7#130 chromosome 1 cont3.1, whole genome shotgun sequence"
GCA_000182965.3,"CP017623.1 Candida albicans SC5314 chromosome 1, complete sequence"
GCA_000182985.1,"ACOL01005465.1 Vairimorpha ceranae BRL01 Nc005465, whole genome shotgun sequence"
GCA_000183025.1,"ABRE01025056.1 Moniliophthora perniciosa FA553 CP02-S3-041-672-H11-UE.F, whole genome shotgun sequence"
GCA_000184105.1,"GL573169.1 Geomyces destructans 20631-21 unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000185945.1,"CP000286.1 Cryptococcus gattii WM276 chromosome A, complete sequence"
GCA_000187245.3,"CM002300.1 Ogataea parapolymorpha DL-1 chromosome I, whole genome shotgun sequence"
GCA_000187405.1,"GL698470.1 Metarhizium acridum CQMa 102 unplaced genomic scaffold Scf_001, whole genome shotgun sequence"
GCA_000187425.2,"ADNJ02000001.1 Metarhizium robertsii ARSEF 23 MAA_Scf_1, whole genome shotgun sequence"
GCA_000190195.1,"CM001078.1 Saccharomyces cerevisiae AWRI796 chromosome I, whole genome shotgun sequence"
GCA_000190215.1,"CM001094.1 Saccharomyces cerevisiae Vin13 chromosome I, whole genome shotgun sequence"
GCA_000190235.1,"CM001126.1 Saccharomyces cerevisiae VL3 chromosome I, whole genome shotgun sequence"
GCA_000190255.1,"CM001110.1 Saccharomyces cerevisiae FostersB chromosome I, whole genome shotgun sequence"
GCA_000190615.1,"GL870876.1 Nematocida parisii ERTm3 unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000192455.1,"GL873276.1 Saccharomyces cerevisiae CBS 7960 unplaced genomic scaffold Scaffold0, whole genome shotgun sequence"
GCA_000192495.1,"GL875079.1 Saccharomyces cerevisiae CLIB324 unplaced genomic scaffold Scfld0, whole genome shotgun sequence"
GCA_000192515.1,"GL875735.1 Saccharomyces cerevisiae YJM269 unplaced genomic scaffold Scfld0, whole genome shotgun sequence"
GCA_000192535.1,"GL875991.1 Saccharomyces cerevisiae FL100 unplaced genomic scaffold Scaffold0, whole genome shotgun sequence"
GCA_000192555.1,"GL876585.1 Saccharomyces cerevisiae CLIB215 unplaced genomic scaffold Scaffold0, whole genome shotgun sequence"
GCA_000192795.1,"GL877404.1 Vavraia culicis subsp. floridensis unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000193285.1,"GL876966.1 Magnaporthe poae ATCC 64411 unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000203795.1,"GL882879.1 Batrachochytrium dendrobatidis JAM81 unplaced genomic scaffold BATDEscaffold_1, whole genome shotgun sequence"
GCA_000204055.1,"GL883090.1 Melampsora larici-populina 98AG31 unplaced genomic scaffold MELLAscaffold_1, whole genome shotgun sequence"
GCA_000208805.1,"CACM01035300.1 Erysiphe pisi, MIRA assembly whole genome shotgun sequence, E.pisi_lrc92190"
GCA_000209165.1,"CM000437.1 Pichia stipitis CBS 6054 chromosome 1, whole genome shotgun sequence"
GCA_000209265.1,"GL888981.1 Saccharomyces cerevisiae PW5 unplaced genomic scaffold Scfld0, whole genome shotgun sequence"
GCA_000209285.1,"GL889028.1 Saccharomyces cerevisiae UC5 unplaced genomic scaffold Scfld0, whole genome shotgun sequence"
GCA_000209305.1,"AFDF01000001.1 Saccharomyces cerevisiae T73 Contig0.1, whole genome shotgun sequence"
GCA_000209345.1,"GL889503.1 Saccharomyces cerevisiae CLIB382 unplaced genomic scaffold Scfld0, whole genome shotgun sequence"
GCA_000209365.1,"GL890460.1 Saccharomyces cerevisiae T7 unplaced genomic scaffold Scfld0, whole genome shotgun sequence"
GCA_000209485.1,"CH991542.1 Enterocytozoon bieneusi H348 SC_1888 genomic scaffold, whole genome shotgun sequence"
GCA_000213175.1,"GL891302.1 Neurospora tetrasperma FGSC 2508 unplaced genomic scaffold NEUTE1scaffold_1, whole genome shotgun sequence"
GCA_000213195.1,"GL890999.1 Neurospora tetrasperma FGSC 2509 unplaced genomic scaffold NEUTE2scaffold_1, whole genome shotgun sequence"
GCA_000218685.1,"GL945428.1 Serpula lacrymans var. lacrymans S7.9 unplaced genomic scaffold SERLAscaffold_1, whole genome shotgun sequence"
GCA_000218725.1,"GL945474.1 Serpula lacrymans var. lacrymans S7.3 unplaced genomic scaffold SERLA73scaffold_1, whole genome shotgun sequence"
GCA_000218975.1,"FN393058.1 Saccharomyces cerevisiae EC1118 chromosome I, EC1118_1A20 genomic scaffold, whole genome shotgun sequence"
GCA_000219625.1,"CM001196.1 Mycosphaerella graminicola IPO323 chromosome 1, whole genome shotgun sequence"
GCA_000221225.1,"GL988029.1 Chaetomium thermophilum var. thermophilum DSM 1495 unplaced genomic scaffold scf7180000011800, whole genome shotgun sequence"
GCA_000221245.2,"AEWR01000060.1 Encephalitozoon cuniculi EC3 cont1.60, whole genome shotgun sequence"
GCA_000221265.2,"AEWQ01000054.1 Encephalitozoon cuniculi EC2 cont1.54, whole genome shotgun sequence"
GCA_000221285.2,"AEWD01000071.1 Encephalitozoon cuniculi EC1 cont1.71, whole genome shotgun sequence"
GCA_000222205.2,"AEVR02000029.1 Rhodotorula toruloides ATCC 204091 scaffold00029, whole genome shotgun sequence"
GCA_000222805.1,"AFQF01000001.1 Fusarium oxysporum f. sp. conglutinans Fo5176 contig00001, whole genome shotgun sequence"
GCA_000222875.2,"AFRD01000864.1 Periglandula ipomoeae IasaF13 contig27004, whole genome shotgun sequence"
GCA_000222895.2,"AFRE01001621.1 Epichloe gansuensis E7080 contig01627, whole genome shotgun sequence"
GCA_000222915.1,"AFRB01000001.1 Epichloe brachyelytri E4804 contig00001, whole genome shotgun sequence"
GCA_000222935.2,"AFQZ01003298.1 Aciculosporium take MAFF-241224 contig03308, whole genome shotgun sequence"
GCA_000222955.2,"AFSE01002556.1 Epichloe typhina E5819 contig02577, whole genome shotgun sequence"
GCA_000223055.1,"AFRA01000001.1 Claviceps fusiformis PRL 1980 contig00001, whole genome shotgun sequence"
GCA_000223075.2,"AFRF01002180.1 Epichloe amarillans E57 contig02180, whole genome shotgun sequence"
GCA_000223175.2,"AFRC01002304.1 Claviceps paspali RRC 1481 contig02305, whole genome shotgun sequence"
GCA_000223465.1,"GL996507.1 Candida tenuis ATCC 10573 unplaced genomic scaffold CANTEscaffold_00001, whole genome shotgun sequence"
GCA_000223505.1,"AEEW01000001.1 Puccinia striiformis f. sp. tritici PST-130 PST130_1, whole genome shotgun sequence"
GCA_000223625.2,"AEYQ01000940.1 Zymoseptoria tritici STIR04 A48b strain STIR04_A48b contig0951, whole genome shotgun sequence"
GCA_000223645.2,"AFIP01001154.1 Zymoseptoria tritici STIR04_A26b contig1168, whole genome shotgun sequence"
GCA_000223665.2,"AFIQ01000978.1 Zymoseptoria pseudotritici STIR04_2.2.1 contig0984, whole genome shotgun sequence"
GCA_000223685.2,"AFIR01001069.1 Zymoseptoria pseudotritici STIR04_4.3.1 contig1074, whole genome shotgun sequence"
GCA_000223705.2,"AFIS01001146.1 Zymoseptoria pseudotritici STIR04_5.3 contig1159, whole genome shotgun sequence"
GCA_000223725.2,"AFIT01001150.1 Zymoseptoria pseudotritici STIR04_5.9.1 contig1156, whole genome shotgun sequence"
GCA_000223745.2,"AFIU01000769.1 Zymoseptoria ardabiliae STIR04_1.1.1 contig0773, whole genome shotgun sequence"
GCA_000223765.2,"AFIV01000705.1 Zymoseptoria ardabiliae STIR04_1.1.2 contig0712, whole genome shotgun sequence"
GCA_000223785.2,"AFIW01001045.1 Zymoseptoria ardabiliae STIR04_3.13.1 contig1049, whole genome shotgun sequence"
GCA_000223805.2,"AFIX01001175.1 Zymoseptoria ardabiliae STIR04_3.3.2 contig1187, whole genome shotgun sequence"
GCA_000223825.2,"AFIY01001517.1 Zymoseptoria passerinii SP63 contig1531, whole genome shotgun sequence"
GCA_000225285.2,"AFRG01003076.1 Epichloe glyceriae E277 contig03382, whole genome shotgun sequence"
GCA_000225545.1,"JH119000.1 Arthrobotrys oligospora ATCC 24927 unplaced genomic scaffold scaffold00001, whole genome shotgun sequence"
GCA_000225605.1,"JH126399.1 Cordyceps militaris CM01 unplaced genomic scaffold CCM_S00001, whole genome shotgun sequence"
GCA_000225625.2,"AFXL01001129.1 Aspergillus fumigatus Af10 contig01138, whole genome shotgun sequence"
GCA_000225645.2,"AFXM01000447.1 Aspergillus fumigatus AF210 ctg1125141932122, whole genome shotgun sequence"
GCA_000226095.1,"CP003002.1 Myceliophthora thermophila ATCC 42464 chromosome 1, complete sequence"
GCA_000226115.1,"CP003009.1 Thielavia terrestris NRRL 8126 chromosome 1, complete sequence"
GCA_000226545.1,"CU633438.1 Podospora anserina S mat+ genomic DNA chromosome 1, supercontig 1"
GCA_000226655.2,"DF340818.1 Aspergillus sojae NBRC 4239 DNA, scaffold: scaffold001, whole genome shotgun sequence"
GCA_000226675.2,"AFIO01002408.1 Zymoseptoria pseudotritici STIR04_3.11.1 contig9991, whole genome shotgun sequence"
GCA_000227095.3,"BACD03000104.1 Saitoella complicata NRRL Y-17804 DNA, contig: contig109, whole genome shotgun sequence"
GCA_000227115.2,"HE580267.1 Naumovozyma dairenensis CBS 421 chromosome 1, complete genome"
GCA_000230245.1,FQ311430.1 Sporisorium reilianum SRZ2 chromosome 1 complete DNA sequence
GCA_000230375.1,"FP929080.1 Leptosphaeria maculans JN3 lm_SuperContig_62_v2 genomic supercontig, whole genome, isolate v23.1.3"
GCA_000230395.2,"ACJE01000024.1 Aspergillus niger ATCC 1015, whole genome shotgun sequence"
GCA_000230595.3,"AFBI03000001.1 Edhazardia aedis USNM 41457 supercont1.1, whole genome shotgun sequence"
GCA_000230625.1,"JH226130.1 Exophiala dermatitidis NIH/UT8656 unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000231115.1,"JH370130.1 Vittaforma corneae ATCC 50505 unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000234495.1,"JH376955.1 Saccharomyces cerevisiae EC9-8 unplaced genomic scaffold scaffold00001, whole genome shotgun sequence"
GCA_000235365.1,"CP002497.1 Eremothecium cymbalariae DBVPG#7215 chromosome 1, complete sequence"
GCA_000235945.1,"JH392917.1 Rhizophydiales sp. JEL142 unplaced genomic scaffold JEL142_assembled86, whole genome shotgun sequence"
GCA_000236905.1,"HE612856.1 Tetrapisispora phaffii CBS 4417 chromosome 1, complete genome"
GCA_000237345.1,"HE576752.1 Naumovozyma castellii CBS 4309 chromosome 1, complete genome"
GCA_000238015.2,"JH413851.1 Glarea lozoyensis 74030 unplaced genomic scaffold M7I_scaffold1, whole genome shotgun sequence"
GCA_000239015.2,"AHBE01000541.1 Debaryomyces hansenii var. hansenii MTCC 234 Deb-contig542, whole genome shotgun sequence"
GCA_000239835.2,"DF126447.1 Aspergillus kawachii IFO 4308 DNA, contig: scaffold00001, whole genome shotgun sequence"
GCA_000240135.3,"CM000574.1 Fusarium graminearum PH-1 chromosome 1, whole genome shotgun sequence"
GCA_000240685.2,"ADAG01001099.1 Mortierella alpina ATCC 32222 contig_1099, whole genome shotgun sequence"
GCA_000243375.1,"HE616742.1 Torulaspora delbrueckii CBS 1146 chromosome 1, complete genome"
GCA_000250985.1,"JH605023.1 Nematocida parisii ERTm1 unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000256055.1,"AJHP01000001.1 Saccharomyces kudriavzevii FM1056 c10AA, whole genome shotgun sequence"
GCA_000256225.1,"AIIC01000001.1 Alternaria arborescens EGS 39-128 NG_054, whole genome shotgun sequence"
GCA_000256745.1,"JH622830.1 Saccharomyces kudriavzevii FM1057 unplaced genomic scaffold c10, whole genome shotgun sequence"
GCA_000256765.1,"AJHS01000001.1 Saccharomyces kudriavzevii FM1066 c133AA, whole genome shotgun sequence"
GCA_000256785.1,"AJHR01000001.1 Saccharomyces kudriavzevii FM1062 c10AA, whole genome shotgun sequence"
GCA_000256805.1,"AJHW01000001.1 Saccharomyces kudriavzevii FM1073 c129AA, whole genome shotgun sequence"
GCA_000256825.1,"AJHU01000001.1 Saccharomyces kudriavzevii FM1071 c10AA, whole genome shotgun sequence"
GCA_000256845.1,"AJHV01000001.1 Saccharomyces kudriavzevii FM1072 c9AA, whole genome shotgun sequence"
GCA_000256865.1,"AJHT01000001.1 Saccharomyces kudriavzevii FM1069 c10AA, whole genome shotgun sequence"
GCA_000256885.1,"AJHZ01000001.1 Saccharomyces kudriavzevii FM1076 c10AA, whole genome shotgun sequence"
GCA_000256905.1,"AJHY01000001.1 Saccharomyces kudriavzevii FM1075 c10AA, whole genome shotgun sequence"
GCA_000256925.1,"AJHX01000001.1 Saccharomyces kudriavzevii FM1074 c133AA, whole genome shotgun sequence"
GCA_000256965.1,"AJID01000001.1 Saccharomyces kudriavzevii FM1094 c142AA, whole genome shotgun sequence"
GCA_000256985.1,"AJIA01000001.1 Saccharomyces kudriavzevii FM1077 c10AA, whole genome shotgun sequence"
GCA_000257005.1,"JH645014.1 Saccharomyces kudriavzevii FM1078 unplaced genomic scaffold c10, whole genome shotgun sequence"
GCA_000257025.1,"AJIC01000001.1 Saccharomyces kudriavzevii FM1079 c9AA, whole genome shotgun sequence"
GCA_000257085.1,"AJIF01000001.1 Saccharomyces kudriavzevii IFO10991 c7AA, whole genome shotgun sequence"
GCA_000257105.1,"AJIE01000001.1 Saccharomyces kudriavzevii IFO10990 c7AA, whole genome shotgun sequence"
GCA_000258745.1,"AJMJ01000001.1 Rhodotorula toruloides MTCC 457 contig1_1, whole genome shotgun sequence"
GCA_000259595.1,"AHIQ01000001.1 Brettanomyces bruxellensis AWRI1499 AWRI1499_contig1_scaffold1, whole genome shotgun sequence"
GCA_000259975.2,"JH650827.1 Fusarium oxysporum f. sp. lycopersici MN25 unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000260075.2,"JH650968.1 Fusarium oxysporum f. sp. pisi HDV247 unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000260155.3,"JH651385.1 Fusarium oxysporum f. sp. radicis-lycopersici 26381 unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000260175.2,"JH657918.1 Fusarium oxysporum f. sp. vasinfectum 25433 unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000260195.2,"JH658272.1 Fusarium oxysporum f. sp. cubense tropical race 4 54006 unplaced genomic scaffold supercont1.1, whole genome shotgun sequence"
